x_axis,y_axis
1,88034
2,73229
3,64534
4,56374
5,51785
6,47984
7,45251
8,42586
9,39544
10,36187
11,33819
12,30836
13,30399
14,28280
15,26464
16,24821
17,22482
18,20975
19,20692
20,18894
21,17640
22,16403
23,15251
24,14228
25,17919
26,17031
27,15883
28,15015
29,13667
30,13042
31,13219
32,12478
33,11791
34,11116
35,10335
36,9704
37,11833
38,10692
39,9677
40,8649
41,7773
42,7178
43,6901
44,6306
45,5683
46,5230
47,4666
48,4269
49,4305
50,3741
51,3326
52,3141
53,2541
54,2321
55,2271
56,1901
57,1746
58,1517
59,1175
60,971
61,887
62,801
63,736
64,569
65,512
66,407
67,376
68,295
69,250
70,174
71,84
72,32