batchNum,denominator,molecule,ratio
201101,187420,17600,0.09391
201102,292280,17600,0.06022
201103,397543,17600,0.04427
201104,476861,17600,0.03691
201105,533805,17600,0.03297
201106,577856,17600,0.03046
201107,614441,17600,0.02864
201108,653113,19001,0.02909
201109,695191,19458,0.02799
201110,730586,19732,0.02701
201111,780978,20041,0.02566
201112,823665,20178,0.0245
201201,871832,20210,0.02318
201202,921244,20084,0.0218
201203,971008,20282,0.02089
201204,842938,20255,0.02403
201205,903097,20139,0.0223
201206,948676,20093,0.02118
201207,927436,20040,0.02161
201208,1052692,19926,0.01893
201209,1161967,19891,0.01712
201210,1172536,19833,0.01691
201211,1264862,18832,0.01489
201212,1338451,18784,0.01403
201301,1404026,18653,0.01329
201302,1423198,18511,0.01301
201303,1468688,18457,0.01257
201304,1489750,18482,0.01241
201305,1512615,18473,0.01221
201306,1530063,18389,0.01202
201307,1515449,18485,0.0122
201308,1552980,18499,0.01191
201309,1615173,18553,0.01149
201310,1662527,18415,0.01108
201311,1740495,18293,0.01051
201312,1811403,18211,0.01005
201401,1818640,20195,0.0111
201402,1990337,19973,0.01003
201403,2184792,20055,0.00918
201404,2062740,19635,0.00952
201405,2137376,19731,0.00923
201406,2270174,19804,0.00872
201501,2274747,18406,0.00809
201502,2353439,18351,0.0078
201503,2478286,17815,0.00719
201504,2470387,17834,0.00722
201505,2496192,17806,0.00713
201506,2557283,17804,0.00696
201601,2589995,13700,0.00529
201602,2653806,13688,0.00516
201603,2707639,13675,0.00505
201604,2684759,13674,0.00509
201605,2692690,13598,0.00505
201606,2742544,13635,0.00497
201701,2783966,13905,0.00499
201702,2836364,13883,0.00489
201703,2867632,13918,0.00485
201704,2859200,13923,0.00487
201705,2836463,13904,0.0049
201706,2839459,13922,0.0049
201801,2800927,6460,0.00231
201802,2769423,6333,0.00229
201803,2808047,6333,0.00226
201804,2932227,6333,0.00216
201805,3003201,6402,0.00213
201806,3060913,6413,0.0021
201901,3135548,6412,0.00204
201902,3209304,6379,0.00199
201903,3264065,6373,0.00195
201904,3317404,6389,0.00193
201905,3317568,6383,0.00192
201906,3335437,6384,0.00191